Model,FeatureSelection,UnderSample,Shuffle,Optimizer,Activations,HiddenLayers,Neurons,Dropout,Batch,ValSplit,Epochs,TrainingMean,TrainingStd,ValMean,ValStd,TestMean,TestStd
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,16,0.1,20,60.63,0.46,40.05,2.39,50.99,0.92
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,16,0.1,30,61.87,0.28,42.35,0.86,50.67,0.43
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,16,0.2,20,64.6,0.59,14.66,1.03,59.68,1.24
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,16,0.2,30,65.93,0.38,16.62,0.83,58.08,0.79
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,20,0.1,20,60.23,0.51,40.47,1.47,49.71,1.0
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,20,0.1,30,61.48,0.33,41.79,0.29,50.29,0.82
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,20,0.2,20,63.99,0.42,13.96,0.94,59.36,1.33
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,20,0.2,30,65.46,0.35,14.92,0.95,58.4,1.11
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,32,0.1,20,59.19,0.17,41.58,3.3,48.69,0.75
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,32,0.1,30,60.55,0.21,44.04,0.65,49.52,0.67
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,32,0.2,20,63.01,0.34,9.83,0.67,57.83,1.51
LSTM,autoencoder,True,False,Adam,relu,2,20,0.1,32,0.2,30,63.86,0.2,12.61,1.19,58.4,1.48
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,16,0.1,20,57.41,0.31,39.43,4.04,53.35,1.25
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,16,0.1,30,58.44,0.18,38.69,2.17,52.14,0.65
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,16,0.2,20,61.05,0.47,7.18,2.08,57.89,1.11
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,16,0.2,30,62.28,0.33,10.24,1.26,58.66,0.87
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,20,0.1,20,56.93,0.51,36.86,4.44,52.52,2.51
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,20,0.1,30,58.07,0.17,39.74,2.6,51.57,0.72
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,20,0.2,20,60.6,0.5,6.08,1.75,60.0,0.79
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,20,0.2,30,62.18,0.35,9.85,1.19,58.27,1.14
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,32,0.1,20,55.9,0.13,38.83,4.01,50.86,1.36
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,32,0.1,30,57.13,0.4,41.78,1.58,49.27,0.79
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,32,0.2,20,59.79,0.42,5.05,1.33,56.87,1.58
LSTM,autoencoder,True,False,Adam,relu,2,20,0.2,32,0.2,30,61.02,0.4,7.55,1.03,58.21,1.99
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,16,0.1,20,61.79,0.23,45.34,0.4,51.76,0.45
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,16,0.1,30,62.32,0.15,44.27,0.61,51.63,0.43
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,16,0.2,20,66.54,0.16,21.14,0.54,57.12,0.77
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,16,0.2,30,67.03,0.17,21.91,0.59,58.02,0.92
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,20,0.1,20,61.74,0.14,42.74,1.07,50.93,0.48
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,20,0.1,30,62.42,0.05,43.17,0.26,51.31,0.48
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,20,0.2,20,66.2,0.24,21.84,0.63,57.51,1.23
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,20,0.2,30,66.89,0.15,22.95,0.71,59.55,0.59
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,32,0.1,20,61.19,0.15,42.41,0.43,50.22,0.13
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,32,0.1,30,62.29,0.14,42.71,0.79,50.1,0.13
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,32,0.2,20,65.52,0.25,18.02,0.53,60.58,1.14
LSTM,autoencoder,True,False,Adam,relu,2,80,0.1,32,0.2,30,66.59,0.26,21.16,0.2,59.94,1.29
LSTM,autoencoder,True,False,Adam,relu,2,80,0.2,16,0.1,20,59.26,0.22,42.9,0.68,52.33,0.98
LSTM,autoencoder,True,False,Adam,relu,2,80,0.2,16,0.1,30,59.63,0.12,42.02,1.04,52.14,0.51
